Year	Code	File name prefix	Author	Work	Licence
1896	lb10149711	ElkanS_SkiftandeStamningar_1896	Sophie Elkan	Skiftande stämningar. Ett novellhäfte af Rust Roest	cc-by	
1914	lb104984	EngstromA_BlackOchSaltvatten_1914	Albert Engström	Bläck och saltvatten. Berättelser	cc-by	
1910	lb108915	ElkanS_Anckarstrom1_1910	Sophie Elkan	Anckarström. En historia från idyllens och revolutionernas tidehvarf. I. Jacob Jan	cc-by	
1910	lb108916	ElkanS_Anckarstrom2_1910	Sophie Elkan	Anckarström. En historia från idyllens och revolutionernas tidehvarf. II. Kungamördaren	cc-by	
1899	lb1163014	LagerlofS_EnHerrgards_1899	Selma Lagerlöf	En herrgårdssägen	cc-by	
1918	lb1175632	SteenhoffF_FilippasOden_1918	Frida Stéenhoff	Filippas öden. Roman	cc-by	
1921	lb1187656	BergmanHj_Farmor_1921	Hjalmar Bergman	Farmor och Vår Herre	cc-by	
1905	lb11984	BergerH_Ysail_1905	Henning Berger	Ysaïl. En berättelse från Chicago	cc-by	
1910	lb11986	BergerH_Bendel_1910	Henning Berger	Bendel & Co	cc-by	
1892	lb1200937	LundegardA_Titania_1892	Axel Lundegård	Titania. En kärlekssaga	cc-by	
1926	lb1202930	MallingM_MinaDagbocker_1926	Mathilda Malling	Mina dagböcker. Ungdomsdrömmar och ungdomsbekymmer	cc-by	
1934	lb12043	BoyeK_Kris_1934	Karin Boye	Kris	cc-by	
1936	lb12044	BoyeK_ForLite_1936	Karin Boye	För lite. Roman	cc-by	
1885	lb1205720	MallingM_BertaFuncke_1885	Mathilda Malling	Berta Funcke. Berättelse	cc-by	
1904	lb12079	HeidenstamV_SkogenSusar_1904	Verner von Heidenstam	Skogen susar. Berättelser och sagor	cc-by	
1900	lb12089	HeidenstamV_SanktGoranOchDraken_1900	Verner von Heidenstam	Sankt Göran och draken. Berättelser	cc-by	
1928	lb12102	LagerlofS_AnnaSvard_1928	Selma Lagerlöf	Anna Svärd	cc-by	
